_id,Model year,Make,Model,Vehicle class,Motor (kW),Engine size (L),Cylinders,Transmission,Fuel type 1,Combined Le/100 km,Range 1 (km),Recharge time (h),Fuel type 2,City (L/100 km),Highway (L/100 km),Combined (L/100 km),Range 2 (km),CO2 emissions (g/km),CO2 rating,Smog rating,Combined kWh/100 km,Combined L/100 km
128,2020,Mitsubishi,Outlander PHEV AWD,Sport utility vehicle: Small,60,2.0,4,A1,E/G*,3.2,35,3.5,X,9.4,9.0,9.2,463,108,10.0,7.0,27.7,0.0
75,2018,Mitsubishi,Outlander PHEV AWD,Sport utility vehicle: Small,60,2.0,4,A1,E/G*,3.2,35,3.5,X,9.4,9.0,9.2,463,108,10.0,7.0,27.7,0.0
78,2018,Volvo,S90 T8 AWD,Mid-size,65,2.0,4,AS8,E/PG*,3.2,34,3.0,Z,8.9,7.1,8.1,621,100,10.0,7.0,27.7,0.0
256,2024,BMW,330e Sedan,Compact,80,2.0,4,AS8,E/PG*,3.2,35,3.0,Z,9.9,7.4,8.8,468,98,8.0,7.0,28.2,0.0
164,2021,Mitsubishi,Outlander PHEV AWD,Sport utility vehicle: Small,70,2.4,4,A1,E/G*,3.2,39,4.0,X,9.2,9.0,9.1,470,103,10.0,7.0,28.2,0.0
222,2023,BMW,330e Sedan,Compact,80,2.0,4,AS8,E/PG*,3.2,35,3.0,Z,9.9,7.4,8.8,468,98,9.0,7.0,28.2,0.0
200,2022,Mitsubishi,Outlander PHEV AWD,Sport utility vehicle: Small,70,2.4,4,A1,E/G*,3.2,39,4.0,X,9.2,9.0,9.1,470,103,9.0,7.0,28.2,0.0
241,2023,MINI,Cooper SE Countryman ALL4,Mid-size,65,1.5,3,AS6,E/PG*,3.2,29,3.0,Z,8.1,7.9,8.0,451,109,8.0,3.0,28.4,0.0
199,2022,MINI,Cooper SE Countryman ALL4,Mid-size,65,1.5,3,AS6,E/PG*,3.2,29,3.0,Z,8.1,7.9,8.0,451,109,9.0,3.0,28.4,0.0
163,2021,MINI,Cooper SE Countryman ALL4,Mid-size,65,1.5,3,AS6,E/PG*,3.2,29,3.0,Z,8.1,7.9,8.0,451,109,9.0,3.0,28.4,0.0
127,2020,MINI,Cooper SE Countryman ALL4,Mid-size,65,1.5,3,AS6,E/PG*,3.2,29,3.0,Z,8.1,7.9,8.0,451,109,10.0,3.0,28.6,0.0
209,2022,Volvo,S60 T8 AWD Recharge,Compact,65,2.0,4,AS8,E/PG*,3.2,35,3.0,Z,8.4,7.0,7.8,781,94,10.0,7.0,29.0,0.0
