Year,Make,Model,Vehicle class,Motor (kW),Engine Capacity (cm3),Fuel type 1,Combined (E) (Le/100 km),Combined (E) (kWh/100 km),Combined (E) (L/100 km),Range 1 (km),Recharge time (h),Fuel type 2,City (F) (L/100 km),Highway (F) (L/100 km),Combined (F) (L/100 km),Range 2 (km),Price (euros)
2022,Toyota,RAV4 Prime,Sport utility vehicle: Small,134,2500.0,E/G*,2.5,22.3,0.0,68,4.5,G,5.7,6.4,6.0,911,0
2022,Hyundai,IONIQ Plug-in Hybrid,Mid-size,45,1600.0,E/G*,2.0,17.4,0.0,47,2.3,G,4.5,4.6,4.5,954,0
2022,Subaru,Crosstrek Hybrid AWD,Sport utility vehicle: Small,100,2000.0,E/G*,2.6,23.5,0.0,27,2.0,G,6.6,6.8,6.7,747,0
2022,Lexus,NX 450h+ AWD,Sport utility vehicle: Small,134,2500.0,E/PG*,2.8,24.7,0.0,61,4.5,PG,6.2,7.0,6.6,835,0
2022,Porsche,Panamera 4 E-Hybrid,Full-size,70,2900.0,E/PG*,4.5,39.6,0.0,31,3.0,PG,11.4,10.0,10.8,745,0
2022,BMW,X5 xDrive45e,Sport utility vehicle: Standard,83,3000.0,E/PG*,4.5,39.2,0.0,50,5.0,PG,12.2,10.6,11.5,602,0
2022,Porsche,Panamera Turbo S E-Hybrid,Full-size,70,4000.0,E/PG*,4.9,43.8,0.0,27,3.0,PG,13.2,10.8,12.1,665,0
2022,Chrysler,Pacifica Hybrid,Minivan,89,3600.0,E/G*,2.9,25.8,0.0,51,2.0,G,8.0,7.9,8.0,784,0
2022,Volvo,V60 T8 AWD Recharge Extended Range,Station wagon: Small,107,2000.0,E/PG*,3.0,27.2,0.0,64,5.0,PG,8.0,7.2,7.6,792,0
2022,Kia,Sorento Plug-in Hybrid,Sport utility vehicle: Small,67,1600.0,E/G*,3.0,26.4,0.0,51,3.4,G,6.7,7.1,6.9,681,0
2022,BMW,330e xDrive,Compact,83,2000.0,E/PG*,3.5,31.3,0.0,32,3.0,PG,10.7,7.9,9.4,436,0
2022,Volvo,XC60 T8 AWD Recharge Extended Range,Sport utility vehicle: Small,107,2000.0,E/PG*,3.5,31.2,0.0,58,5.0,PG,8.5,8.5,8.5,838,80000
2022,BMW,530e xDrive,Mid-size,83,2000.0,E/PG*,3.8,32.9,0.0,31,3.0,PG,10.5,8.4,9.5,486,0
2022,Volvo,XC90 T8 AWD Recharge Extended Range,Sport utility vehicle: Standard,107,2000.0,E/PG*,3.4,30.6,0.0,58,5.0,PG,9.2,8.6,8.9,798,0
2022,Volvo,S90 T8 AWD Recharge Extended Range,Mid-size,107,2000.0,E/PG*,3.4,30.0,0.0,61,5.0,PG,8.5,7.6,8.1,748,0
2022,Porsche,Cayenne Turbo S E-Hybrid,Sport utility vehicle: Standard,99,4000.0,E/PG*,5.6,51.2,0.0,24,3.0,PG,13.8,12.1,13.0,578,0
2022,Audi,A7 Sportback 55 TFSI e quattro,Mid-size,105,2000.0,E/PG*,3.4,29.9,0.0,42,3.0,PG,9.5,7.5,8.6,623,75000
2022,Audi,Q5 55 TFSI e quattro,Sport utility vehicle: Small,105,2000.0,E/PG*,3.9,34.7,0.0,37,3.0,PG,9.4,8.8,9.1,594,0
2022,Volvo,V60 T8 AWD Recharge,Station wagon: Small,65,2000.0,E/PG*,3.2,29.0,0.0,35,3.0,PG,8.4,7.0,7.8,781,0
2022,BMW,X3 xDrive30e,Sport utility vehicle: Small,80,2000.0,E/PG*,3.9,34.9,0.0,29,3.0,PG,11.0,8.6,9.9,512,0
2022,Volvo,S60 T8 AWD Recharge,Compact,65,2000.0,E/PG*,3.2,29.0,0.0,35,3.0,PG,8.4,7.0,7.8,781,0
2022,Volvo,XC60 T8 AWD Recharge,Sport utility vehicle: Small,65,2000.0,E/PG*,3.9,35.1,0.0,31,3.0,PG,9.7,8.7,9.3,769,0
2022,MINI,Cooper SE Countryman ALL4,Mid-size,65,1500.0,E/PG*,3.2,28.4,0.0,29,3.0,PG,8.1,7.9,8.0,451,0
2022,Mitsubishi,Outlander PHEV AWD,Sport utility vehicle: Small,70,2400.0,E/G*,3.2,28.2,0.0,39,4.0,G,9.2,9.0,9.1,470,0
2022,BMW,330e Sedan,Compact,83,2000.0,E/PG*,3.1,27.8,0.0,37,3.0,PG,9.4,7.2,8.4,486,0
2022,Volvo,XC90 T8 AWD Recharge,Sport utility vehicle: Standard,65,2000.0,E/PG*,4.0,36.1,0.0,29,3.0,PG,9.1,8.4,8.8,813,0
2022,Jeep,Grand Cherokee 4xe,Sport utility vehicle: Standard,100,2000.0,E/G*,4.2,36.0,0.0,42,3.4,G,10.3,9.7,10.0,719,65000
2022,Hyundai,Santa Fe Plug-in Hybrid,Sport utility vehicle: Small,67,1600.0,E/G*,3.1,27.5,0.0,50,3.4,G,7.1,7.3,7.2,655,0
2022,Lincoln,Corsair Grand Touring,Sport utility vehicle: Small,62,2500.0,E/G*,3.1,27.3,0.0,45,3.4,G,6.9,7.3,7.0,645,0
2022,Volvo,S60 T8 AWD Recharge Extended Range,Compact,107,2000.0,E/PG*,3.0,27.2,0.0,64,5.0,PG,8.0,7.2,7.6,792,0
2022,Lincoln,Aviator Grand Touring,Sport utility vehicle: Standard,62,3000.0,E/G*,4.2,37.3,0.0,34,3.5,G,10.9,9.6,10.3,713,0
2022,Volvo,S90 T8 AWD Recharge,Mid-size,65,2000.0,E/PG*,3.5,31.8,0.0,34,3.0,PG,8.3,7.5,7.9,761,0
2022,BMW,745Le xDrive,Full-size,83,3000.0,E/PG*,4.2,37.4,0.0,27,3.0,PG,12.2,9.1,10.8,435,90000
2022,Hyundai,Tucson Plug-in Hybrid,Sport utility vehicle: Small,67,1600.0,E/G*,2.9,25.9,0.0,53,1.7,G,6.8,6.6,6.7,626,0
2022,Toyota,Prius Prime,Mid-size,71,1800.0,E/G*,1.8,15.8,0.0,40,2.0,G,4.3,4.4,4.3,995,0
